Index,SPY,TLT,GLD,VXX,DBC
2009-05-20,71.3384230794,69.4276834558,92.25,79237.12,21.4599446517
2009-05-21,70.3137831284,67.6816151438,93.85,83660.8,21.2850786473
2009-05-22,70.1640268279,66.9302332882,94.15,85821.44,21.595951544
2009-05-26,71.9610882471,65.9212347964,93.76,80496.64,21.6445254341
2009-05-27,70.6763464093,64.7562351194,93.45,82780.16,21.7416732143
2009-05-28,71.6615748578,65.6922422309,94.24,81592.32,22.1399791133
2009-05-29,72.9305498878,67.3882184192,96.2,79800.32,22.5674293462
2009-06-01,74.6960776912,65.4027297927,95.73,76185.6,23.1891751397
2009-06-02,74.7591331001,65.7545503833,96.36,77219.84,23.2863229199
2009-06-03,73.8133169422,66.3720314199,94.41,80947.2,22.5091406781
2009-06-04,74.5069154055,65.0006491178,96.23,79390.72,23.33489681
2009-06-05,74.5226822134,64.5052282861,93.71,79206.4,23.2086046957
2009-06-08,74.2152917256,64.3400880089,93.56,79605.76,23.1503160276
2009-06-09,74.5936155089,64.3329079968,93.83,76042.24,23.3737559221
2009-06-10,74.4044540114,63.3205262973,93.86,76800,23.2863229199
2009-06-11,74.7354891937,64.0241674785,93.7,75069.44,23.5000480364
2009-06-12,74.9404182874,64.5985684428,92.17,73625.6,23.1697455836
2009-06-15,73.2221798731,65.1801494191,91.1,76892.16,22.7228657946
2009-06-16,72.2290672324,66.3145913235,91.93,79667.2,22.6354327924
2009-06-17,72.1581339368,65.9412306967,92.35,80844.8,22.7034362386
2009-06-18,72.6862148089,64.9432090213,91.61,80066.56,22.7325805726
2009-06-19,72.9527703361,65.8335305159,91.9,77844.48,22.5382850122
2009-06-22,70.7651368089,66.4725515887,90.54,80957.44,21.7805323264
2009-06-23,70.8206194351,67.2551729025,90.92,79052.8,22.1594086693
2009-06-24,71.4309410052,66.5802517695,91.45,76206.1824,22.1496938913
2009-06-25,72.9844759395,67.8008538185,92.31,72611.84,22.3439894517
2009-06-26,72.7942423192,67.9157340114,92.29,71475.2,22.1594086693
2009-06-29,73.4758965431,68.0162541801,92.04,68567.04,22.3731337858
2009-06-30,72.8814313414,67.9013739873,91.18,69744.64,21.9748278869
2009-07-01,73.1826310067,67.7673368042,92.39,69468.16,21.8873948847
2009-07-02,71.1852247587,67.9258063418,91.25,73297.92,21.4016559835
2009-07-06,71.1773025192,67.7961494474,90.76,72366.08,20.7604806341
2009-07-07,69.7981392883,68.2499485778,90.71,74588.16,20.4301781813
2009-07-08,69.7505836574,69.5105017178,89.27,76185.6,20.1775939527
2009-07-09,69.8853275179,68.6821382258,89.51,74936.32,20.303886067
2009-07-10,69.718878054,69.3160163762,89.58,74905.6,20.1484496186
2009-07-13,71.4150846367,68.927045693,90.19,72396.8,20.2553121769
2009-07-14,71.8193233517,67.7817431258,90.81,70799.36,20.2553121769
